timestamp,balance,equity,pos_side,qty
1725152400000,1000.0,1000.0,,0.0
1725156000000,1000.0,1000.0,,0.0
1725159600000,1000.0,1000.0,,0.0
1725163200000,1000.0,1000.0,,0.0
1725166800000,1000.0,1000.0,,0.0
1725170400000,1000.0,1000.0,,0.0
1725174000000,1000.0,1000.0,,0.0
1725177600000,1000.0,1000.0,,0.0
1725181200000,1000.0,1000.0,,0.0
1725184800000,1000.0,1000.0,,0.0
1725188400000,1000.0,1000.0,,0.0
1725192000000,1000.0,1000.0,,0.0
1725195600000,1000.0,1000.0,,0.0
1725199200000,1000.0,1000.0,,0.0
1725202800000,1000.0,1000.0,,0.0
1725206400000,1000.0,1000.0,,0.0
1725210000000,1000.0,1000.0,,0.0
1725213600000,1000.0,1000.0,,0.0
1725217200000,1000.0,1000.0,,0.0
1725220800000,999.92,999.3235968047479,short,0.0068617363671053715
1725224400000,999.92,999.8492058104681,short,0.0068617363671053715
1725228000000,999.92,1007.0204064877299,short,0.0068617363671053715
1725231600000,1006.5222680730187,1006.5222680730187,,0.0
1725235200000,1006.5222680730187,1006.5222680730187,,0.0
1725238800000,1006.5222680730187,1006.5222680730187,,0.0
1725242400000,1006.5222680730187,1006.5222680730187,,0.0
1725246000000,1006.5222680730187,1006.5222680730187,,0.0
1725249600000,1006.5222680730187,1006.5222680730187,,0.0
1725253200000,1006.5222680730187,1006.5222680730187,,0.0
1725256800000,1006.5222680730187,1006.5222680730187,,0.0
1725260400000,1006.5222680730187,1006.5222680730187,,0.0
1725264000000,1006.5222680730187,1006.5222680730187,,0.0
1725267600000,1006.5222680730187,1006.5222680730187,,0.0
1725271200000,1006.5222680730187,1006.5222680730187,,0.0
1725274800000,1006.5222680730187,1006.5222680730187,,0.0
1725278400000,1006.5222680730187,1006.5222680730187,,0.0
1725282000000,1006.5222680730187,1006.5222680730187,,0.0
1725285600000,1006.5222680730187,1006.5222680730187,,0.0
1725289200000,1006.5222680730187,1006.5222680730187,,0.0
1725292800000,1006.5222680730187,1006.5222680730187,,0.0
1725296400000,1006.5222680730187,1006.5222680730187,,0.0
1725300000000,1006.5222680730187,1006.5222680730187,,0.0
